"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","MessageTag__c","Message__c","Message_de__c","Message_en__c","Message_fr__c","Message_it__c","Message_ja__c","SourceObjectId__c"
"a0JE000000D8NF0MAN","005E0000001em2EIAQ","0","a0JE000000D8NF0","2013-02-04 00:30:30","005E0000001em2EIAQ","2013-02-04 00:30:30","005E0000001em2EIAQ","2013-02-04 00:30:30","{0} selects {1}","{0} selects {1}","","","","","","a0GE0000006FiRUMA0"
"a0JE000000D8eUGMAZ","005E0000001em2EIAQ","0","a0JE000000D8eUG","2013-02-08 11:53:39","005E0000001em2EIAQ","2013-02-08 11:53:56","005E0000001em2EIAQ","2013-02-08 11:53:56","","{0} requires {1}","","","","","","a0GE0000006GHjmMAG"
"a0JE000000D91dMMAR","005E0000001em2EIAQ","0","a0JE000000D91dM","2013-02-21 01:23:07","005E0000001em2EIAQ","2013-02-21 01:23:07","005E0000001em2EIAQ","2013-02-21 01:23:07","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006H5UIMA0"
"a0JE000000D94SIMAZ","005E0000001em2EIAQ","0","a0JE000000D94SI","2013-02-22 00:10:09","005E0000001em2EIAQ","2013-02-22 00:10:42","005E0000001em2EIAQ","2013-02-22 00:10:42","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006H9RGMA0"
"a0JE000000D94ZlMAJ","005E0000001em2EIAQ","0","a0JE000000D94Zl","2013-02-22 03:10:37","005E0000001em2EIAQ","2013-02-22 03:10:37","005E0000001em2EIAQ","2013-02-22 03:10:37","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006H9pSMAS"
"a0JE000000D97zAMAR","005E0000001em2EIAQ","0","a0JE000000D97zA","2013-02-23 19:30:53","005E0000001em2EIAQ","2013-02-23 19:33:56","005E0000001em2EIAQ","2013-02-23 19:33:56","Following products are not available","Following products are not available","","","","","","a0GE0000006HfddMAC"
"a0JE000000D982pMAB","005E0000001em2EIAQ","0","a0JE000000D982p","2013-02-23 21:11:07","005E0000001em2EIAQ","2013-02-24 08:55:40","005E0000001em2EIAQ","2013-02-24 08:55:40","Since you are including {0}, you could choose {1} for better price","Since you are including {0}, for a better price you could choose  {1}","","","","","","a0GE0000006I9pwMAC"
"a0JE000000D9EKPMA3","005E0000001em2EIAQ","0","a0JE000000D9EKP","2013-02-26 21:53:11","005E0000001em2EIAQ","2013-02-28 12:10:20","005E0000001em2EIAQ","2013-02-28 12:10:20","{0} is obsolete, please select 17R","{0} is obsolete, please select 17R","","","","","","a0GE00000079KSwMAM"
"a0JE000000D9HaCMAV","005E0000001em2EIAQ","0","a0JE000000D9HaC","2013-02-27 22:37:10","005E0000001em2EIAQ","2013-02-27 22:37:10","005E0000001em2EIAQ","2013-02-27 22:37:10","{0} requires {1}","{0} requires {1}","","","","","","a0GE00000079PaNMAU"
"a0JE000000D9HaMMAV","005E0000001em2EIAQ","0","a0JE000000D9HaM","2013-02-27 22:38:06","005E0000001em2EIAQ","2013-02-27 22:38:06","005E0000001em2EIAQ","2013-02-27 22:38:06","{0} requires {1}","{0} requires {1}","","","","","","a0GE00000079PbTMAU"
