"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"017E000002WXYOuIAP","0","a0eE0000000FynnIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 00:59:31","createText","S","","","","","","","","","",""
"017E000002WXYOvIAP","0","a0eE0000000FynoIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 00:59:31","createText","S","","","","","","","","","",""
"017E000002WXYQEIA5","0","a0TE0000001oj0OMAQ","PriceListItem","005E0000001em2EIAQ","2012-10-05 01:00:58","createText","S","","","","","","","","","",""
"017E000002WXYQgIAP","0","a07E00000045hi5IAA","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 01:01:50","createText","S","","","","","","","","","",""
"017E000002WXYQqIAP","0","a0eE0000000FynvIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 01:02:18","createText","S","","","","","","","","","",""
"017E000002WXYR1IAP","0","a07E00000045hiAIAQ","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 01:02:37","createText","S","","","","","","","","","",""
"017E000002WXYRHIA5","0","a0eE0000000FymhIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 01:03:04","createText","S","","","","","","","","","",""
"017E000002WXYRIIA5","0","a0eE0000000FymiIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 01:03:04","createText","S","","","","","","","","","",""
"017E000002WYxPFIA1","0","a0TE0000001ojMuMAI","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:14:08","createText","S","","","","","","","","","",""
"017E000002WZ12wIAD","0","a0TE0000001ojMzMAI","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:14:23","createText","S","","","","","","","","","",""
"017E000002WZ1CgIAL","0","a0TE0000001ojPAMAY","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:36:10","createText","S","","","","","","","","","",""
"017E000002WZ20GIAT","0","a07E00000045l7aIAA","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 19:27:34","createText","S","","","","","","","","","",""
"017E000002WZ239IAD","0","a08E000000BAmEBIA1","ClassificationName","005E0000001em2EIAQ","2012-10-05 19:27:01","createText","S","","","","","","","","","",""
"017E000002WZ2BMIA1","0","a0TE0000001ojNiMAI","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:29:27","createText","S","","","","","","","","","",""
"017E000002WZ2EEIA1","0","a0TE0000001ojNnMAI","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:30:28","createText","S","","","","","","","","","",""
"017E000002WZ2EdIAL","0","a08E000000BAmGCIA1","ClassificationName","005E0000001em2EIAQ","2012-10-05 19:38:43","createText","S","","","","","","","","","",""
"017E000002WZ2EsIAL","0","a07E00000045l9jIAA","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 19:38:58","createText","S","","","","","","","","","",""
"017E000002WZ2RPIA1","0","a0eE0000000G0Y7IAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 19:32:44","createText","S","","","","","","","","","",""
"017E000002WZ2RQIA1","0","a0eE0000000G0Y8IAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 19:32:44","createText","S","","","","","","","","","",""
"017E000002WZ2RRIA1","0","a0eE0000000G0Y9IAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 19:32:44","createText","S","","","","","","","","","",""
"017E000002WZ2WAIA1","0","a0eE0000000G0YrIAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 19:40:38","createText","S","","","","","","","","","",""
"017E000002WZ2amIAD","0","a0TE0000001ojPFMAY","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:37:39","createText","S","","","","","","","","","",""
"017E000002WZ2irIAD","0","a07E00000045l9QIAQ","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 19:38:45","createText","S","","","","","","","","","",""
"017E000002WZ3HUIA1","0","a0TE0000001ojPKMAY","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:37:56","createText","S","","","","","","","","","",""
"017E000002WZ3HkIAL","0","a0TE0000001ojPPMAY","PriceListItem","005E0000001em2EIAQ","2012-10-05 19:38:12","createText","S","","","","","","","","","",""
"017E000002WZ3LxIAL","0","a07E00000045l9oIAA","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 19:39:10","createText","S","","","","","","","","","",""
"017E000002WZ3MRIA1","0","a0eE0000000G0YmIAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 19:40:23","createText","S","","","","","","","","","",""
"017E000002WZ3WDIA1","0","a0eE0000000G0YwIAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 19:41:13","createText","S","","","","","","","","","",""
"017E000002WZ3XhIAL","0","a0eE0000000G0Z1IAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 19:41:37","createText","S","","","","","","","","","",""
"017E000002XmC5kIAF","0","a0TE0000001p152MAA","PriceListItem","005E0000001em2EIAQ","2012-10-08 18:19:28","createText","S","","","","","","","","","",""
"017E000002XmEtHIAV","0","a0TE0000001p157MAA","PriceListItem","005E0000001em2EIAQ","2012-10-08 18:19:53","createText","S","","","","","","","","","",""
"017E000002XmFJOIA3","0","a0TE0000001p14xMAA","PriceListItem","005E0000001em2EIAQ","2012-10-08 18:19:05","createText","S","","","","","","","","","",""
"017E000002XmFXwIAN","0","a0TE0000001p15HMAQ","PriceListItem","005E0000001em2EIAQ","2012-10-08 18:21:10","createText","S","","","","","","","","","",""
"017E000002XmFhOIAV","0","a0TE0000001p15CMAQ","PriceListItem","005E0000001em2EIAQ","2012-10-08 18:20:22","createText","S","","","","","","","","","",""
"017E000002XmFj0IAF","0","a0TE0000001p15MMAQ","PriceListItem","005E0000001em2EIAQ","2012-10-08 18:21:33","createText","S","","","","","","","","","",""
"017E000002Yt4jbIAB","0","a07E0000006OsgHIAS","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-09 18:59:11","createText","S","","","","","","","","","",""
"017E000002YtUKMIA3","0","a0eE0000000G6JaIAK","ProductClassification","005E0000001em2EIAQ","2012-10-09 18:59:37","createText","S","","","","","","","","","",""
"017E000002Yv2EVIAZ","0","a0eE0000000G6JVIA0","ProductClassification","005E0000001em2EIAQ","2012-10-09 18:58:55","createText","S","","","","","","","","","",""
"017E000002Yv3iuIAB","0","a07E0000006OsfnIAC","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-09 18:57:35","createText","S","","","","","","","","","",""
"017E000002Yv3pLIAR","0","a0eE0000000G6JQIA0","ProductClassification","005E0000001em2EIAQ","2012-10-09 18:58:14","createText","S","","","","","","","","","",""
"017E000002Yv3pMIAR","0","a0eE0000000G6JRIA0","ProductClassification","005E0000001em2EIAQ","2012-10-09 18:58:14","createText","S","","","","","","","","","",""
"017E000002Yv6TWIAZ","0","a0eE0000000G6JSIA0","ProductClassification","005E0000001em2EIAQ","2012-10-09 18:58:14","createText","S","","","","","","","","","",""
"017E000002Yv6jdIAB","0","a07E0000006OsfsIAC","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-09 18:58:29","createText","S","","","","","","","","","",""
"017E000002Yv8OuIAJ","0","a0eE0000000G6JbIAK","ProductClassification","005E0000001em2EIAQ","2012-10-09 18:59:37","createText","S","","","","","","","","","",""
"017E000002Yv8OvIAJ","0","a0eE0000000G6JcIAK","ProductClassification","005E0000001em2EIAQ","2012-10-09 18:59:37","createText","S","","","","","","","","","",""
"017E000002Yv8qaIAB","0","a0TE0000001p5F5MAI","PriceListItem","005E0000001em2EIAQ","2012-10-09 19:01:23","createText","S","","","","","","","","","",""
